ticker,side,shares,price,executed_at
HOOD,buy,50.0,121.88,2026-09-04T10:08:10-04:00
COIN,buy,40.0,184.975,2026-09-04T10:08:43-04:00
MRVL,buy,40.0,217.952,2026-09-04T10:09:11-04:00
CIEN,buy,30.0,320.73,2026-09-04T10:09:39-04:00
CIEN,sell,30.0,320.93,2026-09-04T15:57:30-04:00
COIN,sell,40.0,184.45,2026-09-04T15:57:59-04:00
HOOD,sell,50.0,122.145,2026-09-04T15:58:16-04:00
MRVL,sell,40.0,223.635,2026-09-04T15:58:29-04:00
MRNA,buy,70.0,142.2,2026-09-08T10:01:23-04:00
APH,buy,120.0,83.35,2026-09-08T10:02:00-04:00
MRNA,sell,70.0,140.46,2026-09-08T15:55:56-04:00
APH,sell,120.0,81.83,2026-09-08T15:56:14-04:00
ABM,buy,200.0,50.32,2026-09-09T10:00:00-05:00
TBBK,buy,200.0,51.24,2026-09-09T10:00:00-05:00
BRZE,buy,400.0,25.13,2026-09-09T10:00:00-05:00
CASY,buy,16.0,610.59,2026-09-09T10:00:00-05:00
COHR,buy,33.0,310.65,2026-09-09T10:00:00-05:00
PLTR,buy,60.0,170.09,2026-09-09T10:00:00-05:00
TTAN,buy,165.0,61.71,2026-09-09T10:00:00-05:00
SFD,buy,500.0,20.7,2026-09-09T10:00:00-05:00
ABM,sell,200.0,49.52,2026-09-10T10:00:00-05:00
TBBK,sell,200.0,50.32,2026-09-10T10:00:00-05:00
BRZE,sell,400.0,24.17,2026-09-10T10:00:00-05:00
CASY,sell,16.0,650.9,2026-09-10T10:00:00-05:00
COHR,sell,33.0,305.52,2026-09-10T10:00:00-05:00
PLTR,sell,60.0,167.46,2026-09-10T10:00:00-05:00
SFD,sell,500.0,20.78,2026-09-10T10:00:00-05:00
FLY,buy,500.0,21.36,2026-09-11T09:40:00-05:00
IREN,buy,250.0,43.9,2026-09-11T09:40:00-05:00
NBIS,buy,50.0,228.24,2026-09-11T09:40:00-05:00
UCTT,buy,130.0,73.74,2026-09-11T09:40:00-05:00
NVTS,buy,900.0,11.78,2026-09-11T09:40:00-05:00
UCTT,sell,130.0,74.86,2026-09-11T10:30:00-05:00
TTAN,buy,200.0,54.12,2026-09-11T10:30:00-05:00
TTAN,buy,100.0,54.07,2026-09-11T10:30:00-05:00
FLY,sell,300.0,21.48,2026-09-11T11:00:00-05:00
FLY,sell,200.0,21.45,2026-09-11T11:00:00-05:00
IREN,sell,250.0,44.21,2026-09-11T11:00:00-05:00
NVTS,sell,900.0,11.685,2026-09-11T15:18:00-05:00
NBIS,sell,50.0,225.16,2026-09-11T14:29:00-05:00
XNDU,buy,1300.0,7.81,2026-09-15T09:53:00-04:00
PL,buy,650.0,16.025,2026-09-15T09:52:00-04:00
RBLX,buy,200.0,50.47,2026-09-15T09:51:00-04:00
RBLX,sell,200.0,50.61,2026-09-15T14:51:00-04:00
PL,sell,650.0,16.07,2026-09-15T14:51:00-04:00
XNDU,sell,1300.0,7.85,2026-09-15T14:51:00-04:00
XNDU,buy,1300.0,7.81,2026-09-16T10:01:00-04:00
TTAN,sell,465.0,58.465,2026-09-16T10:02:00-04:00
XNDU,buy,1350.0,7.65,2026-09-16T11:00:00-04:00
XNDU,buy,1350.0,7.65983,2026-09-16T11:03:00-04:00
XNDU,buy,1400.0,7.62,2026-09-16T11:26:00-04:00
XNDU,buy,1400.0,7.625,2026-09-16T11:26:00-04:00
XNDU,buy,1400.0,7.5918,2026-09-16T11:36:00-04:00
XNDU,sell,8200.0,7.7201,2026-09-16T12:21:00-04:00
XNDU,buy,1300.0,7.71,2026-09-17T09:41:36-04:00
XNDU,buy,1300.0,7.6905,2026-09-17T10:00:00-04:00
XNDU,buy,1300.0,7.62,2026-09-17T10:15:00-04:00
XNDU,buy,1400.0,7.6433,2026-09-17T10:20:00-04:00
XNDU,buy,1400.0,7.64,2026-09-17T10:26:02-04:00
XNDU,buy,2800.0,7.63987143,2026-09-17T11:10:32-04:00
XNDU,buy,1300.0,7.6299,2026-09-17T11:26:37-04:00
XNDU,sell,10800.0,7.65237861,2026-09-17T11:42:07-04:00
BLSH,buy,280.0,36.3,2026-09-18T09:49:12-04:00
BLSH,sell,560.0,36.645,2026-09-18T09:51:39-04:00
BHVN,buy,730.0,13.78,2026-09-18T09:54:10-04:00
BHVN,buy,730.0,13.72,2026-09-18T09:58:52-04:00
BHVN,buy,715.0,13.57,2026-09-18T10:01:39-04:00
BHVN,buy,1430.0,13.6197,2026-09-18T10:03:50-04:00
BHVN,buy,740.0,13.625,2026-09-18T10:08:25-04:00
BHVN,buy,715.0,13.57,2026-09-18T10:11:54-04:00
XENE,buy,250.0,41.055,2026-09-18T10:12:42-04:00
BHVN,sell,5790.0,13.74,2026-09-18T10:30:26-04:00
BHVN,buy,730.0,13.82,2026-09-18T09:50:00-04:00
BLSH,buy,280.0,36.6,2026-09-18T09:48:00-04:00
ALHC,buy,1200.0,8.61,2026-09-18T09:47:00-04:00
ALHC,sell,1200.0,8.74,2026-09-18T10:20:00-04:00
XENE,buy,250.0,40.7399,2026-09-18T10:51:59-04:00
XENE,buy,500.0,40.05,2026-09-18T11:00:00-04:00
XENE,buy,250.0,40.01,2026-09-18T11:18:50-04:00
XENE,buy,250.0,39.998,2026-09-18T11:20:35-04:00
XENE,sell,1500.0,40.37,2026-09-18T11:27:42-04:00
