stockpicker picks for 2026-09-11

scored 1992 · 992 cleared 0.5% · showing top 20

ticker      pred%        open
FLY         1.82%       21.05
IREN        1.80%       44.62
NBIS        1.77%      234.80
UCTT        1.77%       72.98
NVTS        1.76%       11.29
BE          1.76%      268.51
APLD        1.71%       26.34
WULF        1.71%       16.30
CRWV        1.70%       91.00
RIOT        1.70%       21.25
INFQ        1.67%       13.07
ABCL        1.66%       10.55
AAOI        1.65%      105.00
AXTI        1.65%       66.46
RKLB        1.64%       62.41
ASTS        1.63%       60.40
VOYG        1.63%       33.51
IONQ        1.61%       37.23
AEIS        1.60%      280.28
LASR        1.58%       39.63

Skipped earnings: ORCL, ADBE, CPRT
