stockpicker picks for 2026-09-14
Features through 2026-09-11, model trained through 2026-09-10 -- ready for this morning's opens.
scored 1993 · 138 cleared 0.5% · showing top 20

ticker      pred%        open
AXTI       14.03%       59.68
MXL        12.06%       67.63
AAOI        4.26%       96.60
AEHR        4.07%       85.45
NBIS        3.81%      204.98
SNDK        3.29%     1521.53
CIFR        3.26%       15.54
KEEL        3.17%        3.30
LITE        2.89%      860.88
BE          2.69%      256.39
VIAV        2.34%       36.05
TTMI        1.75%      117.51
SHAZ        1.73%       54.88
TSEM        1.61%      197.15
SMCI        1.53%       37.42
COHU        1.49%       52.23
UCTT        1.41%       68.09
SMR         1.38%        8.31
SEI         1.36%       62.89
DOCN        1.34%      116.91

Skipped earnings: KR
